address,current_name,proposed_name,confidence,evidence_summary,evidence_detail_file
0x800164AC,func_800164AC,data_as_code_lb_table_800164AC,high,data_as_code=data_as_code_lb_table_800164AC,docs/naming/evidence/func_800164AC.md
0x800164F8,func_800164F8,syscall_wrapper_break_800164F8,high,syscall_wrapper=syscall_wrapper_break_800164F8,docs/naming/evidence/func_800164F8.md
0x80016514,func_80016514,,none,,
0x800165F8,func_800165F8,,none,,
0x800166C4,func_800166C4,,none,,
0x80016768,func_80016768,psyq_memset_80016768,high,psyq_idiom=psyq_memset_80016768,docs/naming/evidence/func_80016768.md
0x800167AC,func_800167AC,,none,,
0x800167BC,func_800167BC,,none,,
0x800167D4,func_800167D4,,none,,
0x80016888,func_80016888,,none,,
0x800168F0,func_800168F0,,none,,
0x800168F8,func_800168F8,,none,,
0x80016918,func_80016918,,none,,
0x80016A18,func_80016A18,,none,,
0x80016A8C,func_80016A8C,cpu_set_move_command_and_dir_for_no_action_2_helper_80016A8C,medium,sole_caller_path=cpu_set_move_command_and_dir_for_no_action_2_helper_80016A8C,docs/naming/evidence/func_80016A8C.md
0x80016C3C,func_80016C3C,overflow_func_80016C3C,low,string_adjacent=overflow_func_80016C3C,docs/naming/evidence/func_80016C3C.md
0x80016C74,func_80016C74,,none,,
0x80016C80,func_80016C80,psyq_memcpy_legacy_80016C80,medium,psyq_idiom_legacy=psyq_memcpy_legacy_80016C80; string_adjacent=eff_init_func_80016C80,docs/naming/evidence/func_80016C80.md
0x80016CF8,func_80016CF8,,none,,
0x80016D78,func_80016D78,,none,string_adjacent_info=?,docs/naming/evidence/func_80016D78.md
0x80016E40,func_80016E40,,none,,
0x80016E60,func_80016E60,cpu_set_move_command_and_dir_for_no_action_2_helper_80016E60,medium,sole_caller_path=cpu_set_move_command_and_dir_for_no_action_2_helper_80016E60,docs/naming/evidence/func_80016E60.md
0x800171AC,func_800171AC,,none,,
0x800171B8,func_800171B8,,none,,
0x80017714,func_80017714,,none,,
0x80017738,func_80017738,,none,,
0x80017748,func_80017748,,none,,
0x800177C8,func_800177C8,,none,,
0x80017848,func_80017848,,none,,
0x80017A44,func_80017A44,,none,,
0x80017D84,func_80017D84,,none,,
0x80017E8C,func_80017E8C,,none,,
0x80017EB4,func_80017EB4,,none,,
0x80017EF4,func_80017EF4,,none,,
0x80017F28,func_80017F28,,none,,
0x80017F5C,func_80017F5C,,none,,
0x80017F90,func_80017F90,,none,,
0x80017F98,func_80017F98,,none,,
0x80017FA0,func_80017FA0,,none,,
0x8001924C,func_8001924C,,none,,
0x80019310,func_80019310,gte_mvmva_wrapper_80019310,low,gte_op=gte_mvmva_wrapper_80019310,docs/naming/evidence/func_80019310.md
0x8001945C,func_8001945C,kgm_clamp_patch_init_helper_8001945C,medium,sole_caller_path=kgm_clamp_patch_init_helper_8001945C,docs/naming/evidence/func_8001945C.md
0x80019488,func_80019488,pack_status_nibble_triplet_80019488,medium,"manual_review=Packs the low nibble of 3 consecutive bytes (D_80106A70, +1, +2) into a single u32 with each nibble in its own 4-bit field (bits 0-3, 4-7, 8-11).",docs/naming/evidence/func_80019488.md
0x800194C0,func_800194C0,,none,,
0x800194F4,func_800194F4,,none,,
0x80019534,func_80019534,func_800194F4_with_flag_set_80019534,low,manual_review=Calls func_800194F4() (also unnamed) and sets two consecutive 16-bit (2-byte stride) flags. Placeholder until either the callee or the flags are named.,docs/naming/evidence/func_80019534.md
0x8001979C,func_8001979C,,none,,
0x800198D0,func_800198D0,,none,,
0x8001A484,func_8001A484,,none,,
0x8001A4F0,func_8001A4F0,,none,,
0x8001A538,func_8001A538,,none,,
0x8001A62C,func_8001A62C,,none,,
0x8001A67C,func_8001A67C,,none,,
0x8001A820,func_8001A820,,none,,
0x8001B138,func_8001B138,single_game_VoiceContorol_helper_8001B138,medium,sole_caller_path=single_game_VoiceContorol_helper_8001B138,docs/naming/evidence/func_8001B138.md
0x8001B690,func_8001B690,,none,,
0x8001B6F4,func_8001B6F4,,none,,
0x8001BAE4,func_8001BAE4,,none,,
0x8001BBD8,func_8001BBD8,,none,,
0x8001BCF0,func_8001BCF0,,none,,
0x8001BE20,func_8001BE20,,none,,
0x8001C444,func_8001C444,,none,,
0x8001C4C0,func_8001C4C0,,none,,
0x8001C51C,func_8001C51C,,none,,
0x8001C8DC,func_8001C8DC,,none,,
0x8001CD68,func_8001CD68,,none,,
0x8001DA2C,func_8001DA2C,,none,,
0x8001DB58,func_8001DB58,mk_leaf_newpos_helper_8001DB58,medium,sole_caller_path=mk_leaf_newpos_helper_8001DB58,docs/naming/evidence/func_8001DB58.md
0x8001E404,func_8001E404,,none,,
0x8001E6E4,func_8001E6E4,,none,,
0x8001E800,func_8001E800,,none,,
0x8001E878,func_8001E878,,none,,
0x8001EA04,func_8001EA04,,none,,
0x8001EEB4,func_8001EEB4,,none,,
0x8001EFA0,func_8001EFA0,,none,,
0x8001F1C4,func_8001F1C4,,none,,
0x8001F860,func_8001F860,,none,,
0x8001F888,func_8001F888,,none,,
0x8001F938,func_8001F938,,none,,
0x8001FAE4,func_8001FAE4,single_game_CheckStatusUpDataTotalOver_helper_8001FAE4,medium,sole_caller_path=single_game_CheckStatusUpDataTotalOver_helper_8001FAE4,docs/naming/evidence/func_8001FAE4.md
0x8001FB34,func_8001FB34,single_game_CheckStatusUpDataTotalOver_helper_8001FB34,medium,sole_caller_path=single_game_CheckStatusUpDataTotalOver_helper_8001FB34,docs/naming/evidence/func_8001FB34.md
0x8002006C,func_8002006C,,none,,
0x800200DC,func_800200DC,,none,,
0x800206B0,func_800206B0,,none,,
0x800207C8,func_800207C8,gte_mvmva_wrapper_800207C8,low,gte_op=gte_mvmva_wrapper_800207C8,docs/naming/evidence/func_800207C8.md
0x80020CDC,func_80020CDC,,none,,
0x80020D70,func_80020D70,,none,,
0x80020DDC,func_80020DDC,DispPracticeMenuTex_B_helper_80020DDC,medium,sole_caller_path=DispPracticeMenuTex_B_helper_80020DDC,docs/naming/evidence/func_80020DDC.md
0x80021210,func_80021210,mario_test_Exec_helper_80021210,medium,sole_caller_path=mario_test_Exec_helper_80021210,docs/naming/evidence/func_80021210.md
0x80021280,func_80021280,char_motion_nibble_scan_80021280,medium,"manual_review=Per-character motion stage parser: reads a 16-bit value at g_char_state[a0].field_48 (the per-char 1100-byte struct), scans its 4 nibbles, and for nibbles == 4 or 5 stashes the nibble position and a copy of field_26C into a 'pending stage' record at offsets +0x88/+0x8A and +0x...",docs/naming/evidence/func_80021280.md
0x800213A0,func_800213A0,,none,,
0x80021424,func_80021424,,none,,
0x800218C8,func_800218C8,,none,,
0x80021904,func_80021904,,none,,
0x80021974,func_80021974,char_get_motion_keyframe_table_entry_80021974,low,manual_review=per-character (1100-byte stride) chained lookup returning tbl + idx*2 pointer; pure function,docs/naming/evidence/func_80021974.md
0x800219E4,func_800219E4,mario_test_Exec_helper_800219E4,medium,sole_caller_path=mario_test_Exec_helper_800219E4,docs/naming/evidence/func_800219E4.md
0x80021A3C,func_80021A3C,,none,,
0x80021A98,func_80021A98,,none,,
0x80021D10,func_80021D10,,none,,
0x80021DB0,func_80021DB0,,none,,
0x80022224,func_80022224,,none,,
0x80022408,func_80022408,stage_find_nearest_corner_80022408,medium,"manual_review=reads stage_GetDataPtr() + D_800A36A4*48 byte offset, iterates 4 records (6 s16 each = segment endpoints), returns idx of nearest by 2D distance squared",docs/naming/evidence/func_80022408.md
0x800224E0,func_800224E0,,none,,
0x80022580,func_80022580,,none,,
0x80022F34,func_80022F34,,none,,
0x8002304C,func_8002304C,,none,,
0x800233AC,func_800233AC,,none,,
0x80023648,func_80023648,,none,,
0x80023C30,func_80023C30,,none,,
0x80023CB4,func_80023CB4,,none,,
0x80023D08,func_80023D08,,none,,
0x80023D28,func_80023D28,,none,,
0x80023DB8,func_80023DB8,,none,,
0x80023E40,func_80023E40,,none,,
0x80023F08,func_80023F08,,none,,
0x80026DA4,func_80026DA4,,none,,
0x800272FC,func_800272FC,calc_teasi_loc_fw_helper_800272FC,medium,sole_caller_path=calc_teasi_loc_fw_helper_800272FC,docs/naming/evidence/func_800272FC.md
0x8002738C,func_8002738C,,none,,
0x80027438,func_80027438,,none,,
0x800274BC,func_800274BC,,none,,
0x8002798C,func_8002798C,,none,,
0x80027A58,func_80027A58,,none,,
0x8002872C,func_8002872C,,none,,
0x8002906C,func_8002906C,se_data_set_helper_8002906C,medium,sole_caller_path=se_data_set_helper_8002906C,docs/naming/evidence/func_8002906C.md
0x80029454,func_80029454,returns_zero_stub_80029454,low,"manual_review=Trivial 1-line return 0. With 2 callers, it's likely a placeholder for a feature that's permanently disabled (always-fail predicate, no-op handler that the dispatch table expects to exist).",docs/naming/evidence/func_80029454.md
0x8002A458,func_8002A458,calc_loc_mat_fw_helper_8002A458,medium,gte_op=gte_helper_8002A458; sole_caller_path=calc_loc_mat_fw_helper_8002A458,docs/naming/evidence/func_8002A458.md
0x8002BC68,func_8002BC68,,none,,
0x8002BEA0,func_8002BEA0,,none,,
0x8002C0DC,func_8002C0DC,,none,,
0x8002C61C,func_8002C61C,,none,,
0x8002CA8C,func_8002CA8C,calc_loc_mat_fw_helper_8002CA8C,medium,sole_caller_path=calc_loc_mat_fw_helper_8002CA8C,docs/naming/evidence/func_8002CA8C.md
0x8002D320,func_8002D320,gte_mvmva_wrapper_8002D320,low,gte_op=gte_mvmva_wrapper_8002D320,docs/naming/evidence/func_8002D320.md
0x8002DE20,func_8002DE20,gte_mvmva_wrapper_8002DE20,low,gte_op=gte_mvmva_wrapper_8002DE20,docs/naming/evidence/func_8002DE20.md
0x8002EA24,func_8002EA24,gte_mvmva_wrapper_8002EA24,low,gte_op=gte_mvmva_wrapper_8002EA24,docs/naming/evidence/func_8002EA24.md
0x8002EECC,func_8002EECC,,none,,
0x8002F2D0,func_8002F2D0,gte_mvmva_wrapper_8002F2D0,low,gte_op=gte_mvmva_wrapper_8002F2D0,docs/naming/evidence/func_8002F2D0.md
0x8002F770,func_8002F770,gte_mvmva_wrapper_8002F770,low,gte_op=gte_mvmva_wrapper_8002F770,docs/naming/evidence/func_8002F770.md
0x8002FF20,func_8002FF20,gte_mvmva_wrapper_8002FF20,low,gte_op=gte_mvmva_wrapper_8002FF20,docs/naming/evidence/func_8002FF20.md
0x800300B4,func_800300B4,gte_mvmva_wrapper_800300B4,low,gte_op=gte_mvmva_wrapper_800300B4,docs/naming/evidence/func_800300B4.md
0x80030208,func_80030208,,none,,
0x8003032C,func_8003032C,,none,,
0x8003043C,func_8003043C,psyq_memset_8003043C,high,psyq_idiom=psyq_memset_8003043C; sole_caller_path=mario_test_Exec_helper_8003043C,docs/naming/evidence/func_8003043C.md
0x8003047C,func_8003047C,,none,,
0x80030524,func_80030524,clear_entries_marked_in_flag_table_80030524,medium,"manual_review=Iterates 12 entries at D_80106A7A with 0x64-byte stride. For each entry: if it's not already -1 (sentinel) AND a parallel flag at &D_80106A80 + off (0x6 bytes after the entry, same stride) is non-zero, clears it to -1.",docs/naming/evidence/func_80030524.md
0x80030900,func_80030900,spawn_hit_particle_80030900,medium,"manual_review=Spawns a particle from a hit event: gets a new particle slot via coli_hit_body_weapon (already-named -- collision/hit detector), copies the impact position from *a1 into the particle's +0x2C field, then randomises:",docs/naming/evidence/func_80030900.md
0x80030A2C,func_80030A2C,,none,,
0x80030B10,func_80030B10,,none,,
0x80030BA8,func_80030BA8,,none,,
0x80030D04,func_80030D04,,none,,
0x80030D48,func_80030D48,,none,,
0x80030D50,func_80030D50,,none,,
0x80030D7C,func_80030D7C,,none,,
0x80031890,func_80031890,gte_mvmva_wrapper_80031890,low,gte_op=gte_mvmva_wrapper_80031890,docs/naming/evidence/func_80031890.md
0x80031B24,func_80031B24,,none,,
0x80032040,func_80032040,mario_test_Exec_helper_80032040,medium,sole_caller_path=mario_test_Exec_helper_80032040,docs/naming/evidence/func_80032040.md
0x80032064,func_80032064,,none,,
0x800324D0,func_800324D0,,none,,
0x800325E0,func_800325E0,,none,,
0x80032854,func_80032854,motion_dispatch_event_handler_80032854,medium,"manual_review=30-case switch on arg1, dispatches to func_8006xxxx family; 19 callers all in motion subsystem",docs/naming/evidence/func_80032854.md
0x80032C50,func_80032C50,,none,,
0x8003339C,func_8003339C,,none,,
0x80033498,func_80033498,get_stage_idx_80033498,medium,"manual_review=Pure-function stage-index mapper. Reads D_800A36A4 (the stage selector global -- 23 lui hits per data_symbols_quick_wins.md), subtracts 2, and maps the result through a 6-case switch to a small index 0..5 (or 0xFF for 'no match').",docs/naming/evidence/func_80033498.md
0x80033510,func_80033510,mario_test_Exec_helper_80033510,medium,sole_caller_path=mario_test_Exec_helper_80033510,docs/naming/evidence/func_80033510.md
0x80033550,func_80033550,DispPracticeMenuTex_C_helper_80033550,medium,sole_caller_path=DispPracticeMenuTex_C_helper_80033550,docs/naming/evidence/func_80033550.md
0x80033898,func_80033898,gpu_enable_and_state_reset_80033898,medium,manual_review=Calls named gpu_EnableDisplay() then sets two state globals: D_800A37B8 = 0 and D_800A3834 = 3. The 'enable display and reset state' pattern -- typical mode-transition / scene-init hook.,docs/naming/evidence/func_80033898.md
0x80033D38,func_80033D38,,none,,
0x80033DF4,func_80033DF4,,none,,
0x80033FE4,func_80033FE4,,none,,
0x800340A0,func_800340A0,,none,,
0x80034200,func_80034200,pack_player_input_bitstream_80034200,medium,manual_review=packs N x 2 byte values from D_800F65F8 input buffer into 2-bit slots of a single u32 stored at D_800A3784; sets g_disp_enable = DISP_LOADING (suggests non-trivial per-frame compute),docs/naming/evidence/func_80034200.md
0x800342A0,func_800342A0,,none,,
0x800343F0,func_800343F0,DispSamnailWindow_helper_800343F0,medium,sole_caller_path=DispSamnailWindow_helper_800343F0,docs/naming/evidence/func_800343F0.md
0x80034708,func_80034708,,none,string_adjacent_info=?,docs/naming/evidence/func_80034708.md
0x80034F88,func_80034F88,,none,,
0x8003504C,func_8003504C,,none,,
0x80035430,func_80035430,,none,,
0x80035438,func_80035438,psyq_memcpy_legacy_80035438,low,psyq_idiom_legacy=psyq_memcpy_legacy_80035438,docs/naming/evidence/func_80035438.md
0x80035480,func_80035480,,none,,
0x8003553C,func_8003553C,,none,,
0x800355E8,func_800355E8,,none,,
0x80035828,func_80035828,,none,,
0x80035E88,func_80035E88,,none,,
0x80035EDC,func_80035EDC,,none,,
0x80035F30,func_80035F30,,none,,
0x80035F78,func_80035F78,,none,,
0x80035FA8,func_80035FA8,,none,,
0x80035FE0,func_80035FE0,psyq_memcpy_legacy_80035FE0,low,psyq_idiom_legacy=psyq_memcpy_legacy_80035FE0,docs/naming/evidence/func_80035FE0.md
0x80036034,func_80036034,vsync_4_with_helpers_80036034,medium,"manual_review=Calls two unnamed helpers (func_80080148, func_8007FF7C) then sys_VSync(4) -- the named PSX SDK helper that waits for 4 vblank periods (= 4 frames = ~67ms at 60fps).",docs/naming/evidence/func_80036034.md
0x80036D88,func_80036D88,game_FrameLoop_helper_80036D88,medium,sole_caller_path=game_FrameLoop_helper_80036D88,docs/naming/evidence/func_80036D88.md
0x80036D98,func_80036D98,,none,,
0x80036EA8,func_80036EA8,,none,,
0x80036F28,func_80036F28,,none,,
0x80036FD4,func_80036FD4,,none,,
0x80037110,func_80037110,special_cam_issue_command_80037110,medium,"manual_review=callers pass small command codes {0, 1, 8, 9, 10, 11} from state-machine cases; arg0 is a command code, not a generic table index",docs/naming/evidence/func_80037110.md
0x800371AC,func_800371AC,,none,,
0x800371E8,func_800371E8,,none,,
0x800371F8,func_800371F8,,none,,
0x80037234,func_80037234,file_io_state_clear_80037234,low,"manual_review=2-line state setter: clears D_80101E64 and sets D_80101E68 = 1. Both globals are in the D_80101Exx range used by special-cam / replay code per [func_80037110.md](func_80037110.md). Likely the 'cancel current operation, mark as ready' state setter.",docs/naming/evidence/func_80037234.md
0x80037250,func_80037250,replay_camera_check_stage_80037250,medium,kengo_pattern=replay_camera_check_stage_80037250,docs/naming/evidence/func_80037250.md
